board_index,board_name,width,height,total_mines,selections,opened_safe,opened_mines,cycles,cfg_cycles,load_cycles,solver_cycles,score_cycles,total_board_cycles,score_numerator,score_denominator,score_scaled,score,board_crc,jtag_retries,transport_error,protocol_version,build_id,solver_stalled
319,board_5x19_14_9764_none,5,19,14,23,81,2,12103,0,0,12103,0,12103,972,1134,8571,0.8571,6474,0,0,2,0001,0
320,board_11x14_42_9782_none,11,14,42,53,86,5,329465,0,0,329465,0,329465,3052,4704,6488,0.6488,2FA5,0,0,2,0001,1
321,board_12x12_40_9830_none,12,12,40,77,104,4,263507,0,0,263507,0,263507,3744,4160,9000,0.9000,689F,0,0,2,0001,0
322,board_15x8_25_9883_none,15,8,25,71,95,2,101895,0,0,101895,0,101895,2185,2375,9200,0.9200,521C,0,0,2,0001,0
323,board_18x4_10_9912_none,18,4,10,25,62,0,7704,0,0,7704,0,7704,620,620,10000,1.0000,3BE6,0,0,2,0001,0
324,board_19x10_50_9923_none,19,10,50,93,140,1,284066,0,0,284066,0,284066,6860,7000,9800,0.9800,6914,0,0,2,0001,0
325,board_17x18_44_9976_none,17,18,44,86,262,0,15592,0,0,15592,0,15592,11528,11528,10000,1.0000,0234,0,0,2,0001,0
326,board_15x19_42_10025_none,15,19,42,81,243,0,14892,0,0,14892,0,14892,10206,10206,10000,1.0000,5D1F,0,0,2,0001,0
327,board_14x19_46_10069_none,14,19,46,100,220,0,22126,0,0,22126,0,22126,10120,10120,10000,1.0000,2ED5,0,0,2,0001,0
328,board_11x18_48_10118_none,11,18,48,72,150,3,108007,0,0,108007,0,108007,6750,7200,9375,0.9375,38F7,0,0,2,0001,0
329,board_5x6_4_10169_none,5,6,4,13,26,0,1821,0,0,1821,0,1821,104,104,10000,1.0000,EC6E,0,0,2,0001,0
330,board_4x4_3_10174_none,4,4,3,3,13,0,1208,0,0,1208,0,1208,39,39,10000,1.0000,ADA4,0,0,2,0001,0
331,board_4x8_9_10179_none,4,8,9,15,23,2,9751,0,0,9751,0,9751,161,207,7777,0.7777,EB90,0,0,2,0001,0
332,board_8x16_18_10190_none,8,16,18,19,110,0,6131,0,0,6131,0,6131,1980,1980,10000,1.0000,3DE2,0,0,2,0001,0
333,board_15x18_68_10210_none,15,18,68,129,202,0,93895,0,0,93895,0,93895,13736,13736,10000,1.0000,749E,0,0,2,0001,0
334,board_18x10_32_10284_none,18,10,32,83,148,0,48152,0,0,48152,0,48152,4736,4736,10000,1.0000,D16C,0,0,2,0001,0
335,board_19x4_15_10319_none,19,4,15,32,61,1,22254,0,0,22254,0,22254,854,915,9333,0.9333,3BEE,0,0,2,0001,0
336,board_16x10_33_10337_none,16,10,33,85,127,0,77945,0,0,77945,0,77945,4191,4191,10000,1.0000,0B00,0,0,2,0001,0
337,board_9x19_36_10376_none,9,19,36,71,135,2,72099,0,0,72099,0,72099,4590,4860,9444,0.9444,0778,0,0,2,0001,0
338,board_4x12_9_10418_none,4,12,9,11,39,1,4961,0,0,4961,0,4961,312,351,8888,0.8888,995D,0,0,2,0001,0
339,board_5x4_5_10428_none,5,4,5,16,15,1,25613,0,0,25613,0,25613,60,75,8000,0.8000,6B17,0,0,2,0001,0
340,board_6x4_6_10436_none,6,4,6,9,18,1,3905,0,0,3905,0,3905,90,108,8333,0.8333,9FD3,0,0,2,0001,0
341,board_7x5_9_10444_none,7,5,9,15,26,1,7236,0,0,7236,0,7236,208,234,8888,0.8888,A8B4,0,0,2,0001,0
342,board_15x18_45_10455_none,15,18,45,93,225,1,93722,0,0,93722,0,93722,9900,10125,9777,0.9777,94A5,0,0,2,0001,0
343,board_18x19_90_10511_none,18,19,90,163,232,4,418272,0,0,418272,0,418272,19872,22680,8761,0.8761,9827,0,0,2,0001,1
344,board_19x14_48_10622_none,19,14,48,81,218,0,21951,0,0,21951,0,21951,10464,10464,10000,1.0000,34A2,0,0,2,0001,0
345,board_17x4_17_10676_none,17,4,17,24,51,0,28155,0,0,28155,0,28155,867,867,10000,1.0000,2935,0,0,2,0001,0
346,board_12x6_16_10695_none,12,6,16,28,56,1,5897,0,0,5897,0,5897,840,896,9375,0.9375,0295,0,0,2,0001,0
347,board_10x10_15_10713_none,10,10,15,31,85,0,7315,0,0,7315,0,7315,1275,1275,10000,1.0000,F25F,0,0,2,0001,0
348,board_9x12_15_10730_none,9,12,15,33,93,1,27873,0,0,27873,0,27873,1302,1395,9333,0.9333,F4A2,0,0,2,0001,0
349,board_4x19_21_10747_none,4,19,21,45,55,4,50794,0,0,50794,0,50794,935,1155,8095,0.8095,D2F6,0,0,2,0001,0
350,board_4x14_8_10774_none,4,14,8,19,48,0,4001,0,0,4001,0,4001,384,384,10000,1.0000,4308,0,0,2,0001,0
351,board_4x12_7_10783_none,4,12,7,17,41,0,9506,0,0,9506,0,9506,287,287,10000,1.0000,B7D8,0,0,2,0001,0
352,board_11x4_11_10792_none,11,4,11,22,33,2,9670,0,0,9670,0,9670,297,363,8181,0.8181,130A,0,0,2,0001,0
353,board_15x8_17_10807_none,15,8,17,40,103,0,11915,0,0,11915,0,11915,1751,1751,10000,1.0000,E310,0,0,2,0001,0
354,board_16x10_22_10825_none,16,10,22,40,138,0,21169,0,0,21169,0,21169,3036,3036,10000,1.0000,CEBA,0,0,2,0001,0
355,board_18x16_62_10848_none,18,16,62,119,226,1,46158,0,0,46158,0,46158,13786,14012,9838,0.9838,E031,0,0,2,0001,0
356,board_19x18_58_10918_none,19,18,58,119,284,0,26157,0,0,26157,0,26157,16472,16472,10000,1.0000,6945,0,0,2,0001,0
357,board_17x12_30_10982_none,17,12,30,61,174,1,26344,0,0,26344,0,26344,5046,5220,9666,0.9666,2034,0,0,2,0001,0
358,board_16x10_27_11014_none,16,10,27,62,133,2,28532,0,0,28532,0,28532,3325,3591,9259,0.9259,C65C,0,0,2,0001,0
359,board_10x4_9_11043_none,10,4,9,20,31,4,6725,0,0,6725,0,6725,155,279,5555,0.5555,2016,0,0,2,0001,0
360,board_5x10_7_11053_none,5,10,7,11,43,2,6187,0,0,6187,0,6187,215,301,7142,0.7142,B54F,0,0,2,0001,0
361,board_4x12_10_11061_none,4,12,10,13,38,1,7668,0,0,7668,0,7668,342,380,9000,0.9000,86D6,0,0,2,0001,0
362,board_5x19_17_11073_none,5,19,17,29,78,0,8728,0,0,8728,0,8728,1326,1326,10000,1.0000,5D41,0,0,2,0001,0
363,board_10x10_21_11094_none,10,10,21,36,79,1,35988,0,0,35988,0,35988,1580,1659,9523,0.9523,990F,0,0,2,0001,0
364,board_12x6_20_11118_none,12,6,20,44,52,0,181584,0,0,181584,0,181584,1040,1040,10000,1.0000,BFC8,0,0,2,0001,0
365,board_19x8_22_11140_none,19,8,22,46,130,1,14899,0,0,14899,0,14899,2730,2860,9545,0.9545,5178,0,0,2,0001,0
366,board_19x10_33_11163_none,19,10,33,59,157,0,36363,0,0,36363,0,36363,5181,5181,10000,1.0000,CA50,0,0,2,0001,0
367,board_17x19_56_11199_none,17,19,56,90,267,0,21169,0,0,21169,0,21169,14952,14952,10000,1.0000,11F3,0,0,2,0001,0
368,board_14x16_32_11257_none,14,16,32,73,192,0,20864,0,0,20864,0,20864,6144,6144,10000,1.0000,2BBF,0,0,2,0001,0
