"board_index","board_name","width","height","total_mines","selections","opened_safe","opened_mines","cycles","cfg_cycles","load_cycles","solver_cycles","score_cycles","total_board_cycles","score_numerator","score_denominator","score_scaled","score","solver_stalled"
"863","board_16x6_14_26479_none","16","6","14","34","82","0","13130","3","96","13130","37","13268","1148","1148","10000","1.0000","0"
"864","board_19x19_76_26496_none","19","19","76","171","285","1","86651","3","361","86651","37","87054","21375","21660","9868","0.9868","0"
"865","board_16x14_47_26583_none","16","14","47","93","177","1","86608","3","224","86608","37","86874","8142","8319","9787","0.9787","0"
"866","board_12x8_26_26636_none","12","8","26","44","70","5","127267","3","96","127267","37","127405","1470","1820","8076","0.8076","0"
"867","board_11x6_17_26668_none","11","6","17","36","49","1","11971","3","66","11971","37","12079","784","833","9411","0.9411","0"
"868","board_9x4_6_26690_none","9","4","6","11","30","0","17167","3","36","17167","37","17245","180","180","10000","1.0000","0"
"869","board_6x5_4_26699_none","6","5","4","9","26","0","19546","3","30","19546","37","19618","104","104","10000","1.0000","0"
"870","board_5x6_5_26704_none","5","6","5","4","25","0","1440","3","30","1440","37","1512","125","125","10000","1.0000","0"
"871","board_4x16_15_26710_none","4","16","15","28","49","0","33964","3","64","33964","37","34070","735","735","10000","1.0000","0"
"872","board_8x18_24_26730_none","8","18","24","54","120","4","51326","3","144","51326","37","51512","2400","2880","8333","0.8333","0"
"873","board_14x8_26_26756_none","14","8","26","49","86","2","51817","3","112","51817","37","51971","2064","2236","9230","0.9230","0"
"874","board_19x6_25_26789_none","19","6","25","45","89","2","36330","3","114","36330","37","36486","2047","2225","9200","0.9200","0"
"875","board_18x18_54_26821_none","18","18","54","138","270","0","28577","3","324","28577","37","28943","14580","14580","10000","1.0000","0"
"876","board_12x18_46_26883_none","12","18","46","106","170","2","89070","3","216","89070","37","89328","7480","7820","9565","0.9565","0"
"877","board_7x8_11_26939_none","7","8","11","29","45","2","22249","3","56","22249","37","22347","405","495","8181","0.8181","0"
"878","board_4x4_3_26952_none","4","4","3","10","13","0","8221","3","16","8221","37","8279","39","39","10000","1.0000","0"
