"board_index","board_name","width","height","total_mines","selections","opened_safe","opened_mines","cycles","cfg_cycles","load_cycles","solver_cycles","score_cycles","total_board_cycles","score_numerator","score_denominator","score_scaled","score","solver_stalled"
"1","board_8x14_27_1_none","8","14","27","62","85","2","48689","3","112","48689","37","48843","2125","2295","9259","0.9259","0"
"2","board_11x19_31_35_none","11","19","31","63","178","0","13034","3","209","13034","37","13285","5518","5518","10000","1.0000","0"
"3","board_18x14_66_70_none","18","14","66","118","183","7","525116","3","252","525116","37","525410","10776","12276","8778","0.8778","1"
"4","board_19x6_21_151_none","19","6","21","33","93","2","38852","3","114","38852","37","39008","1767","1953","9047","0.9047","0"
"5","board_18x5_18_177_none","18","5","18","47","72","1","72749","3","90","72749","37","72881","1224","1296","9444","0.9444","0"
"6","board_17x6_25_200_none","17","6","25","65","77","2","83188","3","102","83188","37","83332","1771","1925","9200","0.9200","0"
"7","board_12x14_37_231_none","12","14","37","93","131","1","39048","3","168","39048","37","39258","4716","4847","9729","0.9729","0"
"8","board_7x19_23_273_none","7","19","23","69","110","2","28764","3","133","28764","37","28939","2310","2530","9130","0.9130","0"
"9","board_4x16_19_299_none","4","16","19","35","45","3","56481","3","64","56481","37","56587","720","855","8421","0.8421","0"
"10","board_4x6_3_321_none","4","6","3","12","21","0","2967","3","24","2967","37","3033","63","63","10000","1.0000","0"
"11","board_7x4_6_325_none","7","4","6","8","22","1","4293","3","28","4293","37","4363","110","132","8333","0.8333","0"
"12","board_10x8_21_332_none","10","8","21","30","59","1","18605","3","80","18605","37","18727","1180","1239","9523","0.9523","0"
"13","board_17x19_46_358_none","17","19","46","114","277","0","23840","3","323","23840","37","24205","12742","12742","10000","1.0000","0"
"14","board_18x19_74_408_none","18","19","74","148","268","1","137205","3","342","137205","37","137589","19564","19832","9864","0.9864","0"
"15","board_19x12_49_496_none","19","12","49","92","179","2","74166","3","228","74166","37","74436","8413","8771","9591","0.9591","0"
"16","board_18x6_15_552_none","18","6","15","43","93","0","7735","3","108","7735","37","7885","1395","1395","10000","1.0000","0"
"17","board_12x5_16_570_none","12","5","16","27","44","1","126090","3","60","126090","37","126192","660","704","9375","0.9375","0"
"18","board_11x6_18_590_none","11","6","18","41","48","2","54441","3","66","54441","37","54549","768","864","8888","0.8888","0"
"19","board_5x18_13_613_none","5","18","13","24","77","0","12801","3","90","12801","37","12933","1001","1001","10000","1.0000","0"
"20","board_4x14_14_628_none","4","14","14","25","42","1","61327","3","56","61327","37","61425","546","588","9285","0.9285","0"
"21","board_9x5_7_645_none","9","5","7","7","38","1","3235","3","45","3235","37","3322","228","266","8571","0.8571","0"
"22","board_16x8_27_654_none","16","8","27","64","101","0","22902","3","128","22902","37","23072","2727","2727","10000","1.0000","0"
"23","board_17x10_29_686_none","17","10","29","61","141","1","44737","3","170","44737","37","44949","3948","4089","9655","0.9655","0"
"24","board_19x18_59_719_none","19","18","59","139","283","1","128122","3","342","128122","37","128506","16414","16697","9830","0.9830","0"
"25","board_19x19_97_786_none","19","19","97","120","173","4","642849","3","361","642849","37","643252","15725","25608","6140","0.6140","1"
"26","board_19x19_92_895_none","19","19","92","141","246","3","695014","3","361","695014","37","695417","21825","24748","8818","0.8818","1"
"27","board_17x14_41_1003_none","17","14","41","89","197","3","54818","3","238","54818","37","55098","7486","8077","9268","0.9268","0"
"28","board_16x12_28_1051_none","16","12","28","38","164","0","11465","3","192","11465","37","11699","4592","4592","10000","1.0000","0"
"29","board_15x10_20_1082_none","15","10","20","57","130","3","34374","3","150","34374","37","34566","2210","2600","8500","0.8500","0"
"30","board_7x5_8_1103_none","7","5","8","18","27","2","6710","3","35","6710","37","6787","162","216","7500","0.7500","0"
"31","board_4x18_14_1113_none","4","18","14","32","58","2","23874","3","72","23874","37","23988","696","812","8571","0.8571","0"
"32","board_4x19_19_1129_none","4","19","19","44","57","1","26216","3","76","26216","37","26334","1026","1083","9473","0.9473","0"
"33","board_8x16_22_1152_none","8","16","22","49","106","0","10416","3","128","10416","37","10586","2332","2332","10000","1.0000","0"
"34","board_12x8_17_1176_none","12","8","17","26","79","0","8733","3","96","8733","37","8871","1343","1343","10000","1.0000","0"
"35","board_19x6_20_1196_none","19","6","20","44","94","0","13779","3","114","13779","37","13935","1880","1880","10000","1.0000","0"
"36","board_18x19_86_1218_none","18","19","86","131","240","2","189775","3","342","189775","37","190159","20128","22016","9142","0.9142","1"
"37","board_11x14_22_1318_none","11","14","22","47","132","0","8881","3","154","8881","37","9077","2904","2904","10000","1.0000","0"
"38","board_10x12_18_1343_none","10","12","18","45","102","0","8684","3","120","8684","37","8846","1836","1836","10000","1.0000","0"
"39","board_6x5_7_1368_none","6","5","7","12","23","0","2286","3","30","2286","37","2358","161","161","10000","1.0000","0"
"40","board_4x10_6_1376_none","4","10","6","16","34","0","5325","3","40","5325","37","5407","204","204","10000","1.0000","0"
"41","board_5x14_15_1384_none","5","14","15","32","55","4","100393","3","70","100393","37","100505","605","825","7333","0.7333","0"
"42","board_11x19_37_1403_none","11","19","37","87","172","0","33503","3","209","33503","37","33754","6364","6364","10000","1.0000","0"
"43","board_15x14_31_1446_none","15","14","31","68","179","0","50933","3","210","50933","37","51185","5549","5549","10000","1.0000","0"
"44","board_18x6_30_1480_none","18","6","30","56","78","4","53678","3","108","53678","37","53828","2028","2340","8666","0.8666","0"
"45","board_18x8_21_1515_none","18","8","21","48","123","0","14921","3","144","14921","37","15107","2583","2583","10000","1.0000","0"
"46","board_18x10_31_1538_none","18","10","31","79","149","1","32744","3","180","32744","37","32966","4470","4619","9677","0.9677","0"
"47","board_16x14_55_1571_none","16","14","55","100","169","1","122653","3","224","122653","37","122919","9126","9295","9818","0.9818","0"
"48","board_14x18_63_1632_none","14","18","63","116","189","2","109035","3","252","109035","37","109329","11529","11907","9682","0.9682","0"
"49","board_11x19_46_1705_none","11","19","46","55","105","2","48492","3","209","48492","37","48743","4504","7498","6006","0.6006","1"
"50","board_6x14_15_1756_none","6","14","15","39","69","0","71281","3","84","71281","37","71407","1035","1035","10000","1.0000","0"
"51","board_4x10_11_1773_none","4","10","11","19","29","3","12501","3","40","12501","37","12583","232","319","7272","0.7272","0"
"52","board_4x4_3_1786_none","4","4","3","10","13","0","10047","3","16","10047","37","10105","39","39","10000","1.0000","0"
"53","board_6x6_5_1792_none","6","6","5","2","31","0","1673","3","36","1673","37","1751","155","155","10000","1.0000","0"
"54","board_8x10_16_1798_none","8","10","16","42","64","3","29748","3","80","29748","37","29870","832","1024","8125","0.8125","0"
"55","board_10x14_38_1817_none","10","14","38","56","102","5","156602","3","140","156602","37","156784","3366","3876","8684","0.8684","0"
"56","board_15x19_50_1861_none","15","19","50","139","235","1","54004","3","285","54004","37","54331","11515","11750","9800","0.9800","0"
"57","board_16x19_45_1918_none","16","19","45","83","259","1","23295","3","304","23295","37","23641","11396","11655","9777","0.9777","0"
"58","board_19x14_56_1973_none","19","14","56","114","210","0","72140","3","266","72140","37","72448","11760","11760","10000","1.0000","0"
"59","board_18x4_10_2037_none","18","4","10","22","62","0","11663","3","72","11663","37","11777","620","620","10000","1.0000","0"
"60","board_15x6_16_2048_none","15","6","16","35","74","0","12118","3","90","12118","37","12250","1184","1184","10000","1.0000","0"
"61","board_12x10_30_2065_none","12","10","30","67","90","2","33266","3","120","33266","37","33428","2520","2700","9333","0.9333","0"
"62","board_11x12_36_2100_none","11","12","36","71","96","2","107215","3","132","107215","37","107389","3264","3456","9444","0.9444","0"
"63","board_5x19_14_2151_none","5","19","14","47","81","1","84387","3","95","84387","37","84524","1053","1134","9285","0.9285","0"
"64","board_4x12_12_2166_none","4","12","12","28","36","1","21815","3","48","21815","37","21905","396","432","9166","0.9166","0"
"65","board_6x5_5_2182_none","6","5","5","11","25","1","5112","3","30","5112","37","5184","100","125","8000","0.8000","0"
"66","board_7x4_4_2188_none","7","4","4","5","24","0","2610","3","28","2610","37","2680","96","96","10000","1.0000","0"
"67","board_9x4_5_2194_none","9","4","5","12","31","1","2504","3","36","2504","37","2582","124","155","8000","0.8000","0"
"68","board_16x14_55_2201_none","16","14","55","106","169","3","73061","3","224","73061","37","73327","8788","9295","9454","0.9454","0"
"69","board_19x19_50_2263_none","19","19","50","116","311","0","58498","3","361","58498","37","58901","15550","15550","10000","1.0000","0"
"70","board_19x16_75_2315_none","19","16","75","147","229","5","527581","3","304","527581","37","527927","16030","17175","9333","0.9333","0"
"71","board_14x4_7_2401_none","14","4","7","16","49","0","3329","3","56","3329","37","3427","343","343","10000","1.0000","0"
"72","board_9x6_13_2409_none","9","6","13","33","41","2","83102","3","54","83102","37","83198","451","533","8461","0.8461","0"
"73","board_4x16_13_2425_none","4","16","13","19","51","2","23678","3","64","23678","37","23784","561","663","8461","0.8461","0"
"74","board_5x16_22_2443_none","5","16","22","39","58","5","66471","3","80","66471","37","66593","986","1276","7727","0.7727","0"
"75","board_11x5_7_2473_none","11","5","7","19","48","0","5134","3","55","5134","37","5231","336","336","10000","1.0000","0"
"76","board_18x8_37_2481_none","18","8","37","35","62","1","388841","3","144","388841","37","389027","2187","3959","5524","0.5524","1"
"77","board_19x12_48_2530_none","19","12","48","126","180","7","280372","3","228","280372","37","280642","7380","8640","8541","0.8541","0"
"78","board_19x16_46_2583_none","19","16","46","113","258","0","51221","3","304","51221","37","51567","11868","11868","10000","1.0000","0"
"79","board_19x18_47_2633_none","19","18","47","97","295","0","34359","3","342","34359","37","34743","13865","13865","10000","1.0000","0"
"80","board_17x18_78_2682_none","17","18","78","158","228","3","396178","3","306","396178","37","396526","17100","17784","9615","0.9615","0"
"81","board_15x14_51_2776_none","15","14","51","82","149","2","266540","3","210","266540","37","266792","7281","8109","8978","0.8978","1"
"82","board_10x6_8_2841_none","10","6","8","12","52","0","4722","3","60","4722","37","4824","416","416","10000","1.0000","0"
"83","board_6x4_6_2852_none","6","4","6","15","18","0","45052","3","24","45052","37","45118","108","108","10000","1.0000","0"
"84","board_5x5_6_2859_none","5","5","6","23","19","4","4573","3","25","4573","37","4640","38","114","3333","0.3333","0"
"85","board_4x12_8_2866_none","4","12","8","19","40","0","11752","3","48","11752","37","11842","320","320","10000","1.0000","0"
"86","board_6x19_24_2876_none","6","19","24","19","39","3","137097","3","114","137097","37","137253","666","2160","3083","0.3083","1"
"87","board_8x19_39_2903_none","8","19","39","52","98","1","125551","3","152","125551","37","125745","3709","4407","8416","0.8416","1"
"88","board_12x12_26_2952_none","12","12","26","62","118","0","76644","3","144","76644","37","76830","3068","3068","10000","1.0000","0"
"89","board_15x8_16_2982_none","15","8","16","49","104","0","12220","3","120","12220","37","12382","1664","1664","10000","1.0000","0"
"90","board_19x5_25_2999_none","19","5","25","44","70","3","32842","3","95","32842","37","32979","1540","1750","8800","0.8800","0"
"91","board_19x6_29_3031_none","19","6","29","66","85","3","98631","3","114","98631","37","98787","2210","2465","8965","0.8965","0"
"92","board_16x19_62_3063_none","16","19","62","130","242","0","167805","3","304","167805","37","168151","15004","15004","10000","1.0000","0"
"93","board_9x14_22_3129_none","9","14","22","45","104","1","78895","3","126","78895","37","79063","2184","2288","9545","0.9545","0"
"94","board_5x6_5_3153_none","5","6","5","15","25","0","1965","3","30","1965","37","2037","125","125","10000","1.0000","0"
"95","board_4x5_4_3159_none","4","5","4","7","16","1","2331","3","20","2331","37","2393","48","64","7500","0.7500","0"
"96","board_4x8_6_3164_none","4","8","6","10","26","0","4592","3","32","4592","37","4666","156","156","10000","1.0000","0"
"97","board_6x12_10_3173_none","6","12","10","15","62","0","5659","3","72","5659","37","5773","620","620","10000","1.0000","0"
"98","board_12x19_63_3184_none","12","19","63","111","154","3","386639","3","228","386639","37","386909","9207","10395","8857","0.8857","1"
"99","board_19x8_26_3257_none","19","8","26","48","126","0","53868","3","152","53868","37","54062","3276","3276","10000","1.0000","0"
"100","board_18x5_19_3285_none","18","5","19","50","71","2","28810","3","90","28810","37","28942","1207","1349","8947","0.8947","0"
"101","board_16x10_22_3306_none","16","10","22","54","138","0","13330","3","160","13330","37","13532","3036","3036","10000","1.0000","0"
"102","board_12x16_42_3329_none","12","16","42","68","150","1","208671","3","192","208671","37","208905","6150","6300","9761","0.9761","0"
"103","board_7x19_27_3377_none","7","19","27","55","106","0","40454","3","133","40454","37","40629","2862","2862","10000","1.0000","0"
"104","board_4x14_9_3407_none","4","14","9","19","47","1","20044","3","56","20044","37","20142","376","423","8888","0.8888","0"
"105","board_4x8_6_3417_none","4","8","6","20","26","0","4815","3","32","4815","37","4889","156","156","10000","1.0000","0"
"106","board_4x6_6_3425_none","4","6","6","9","18","0","2382","3","24","2382","37","2448","108","108","10000","1.0000","0"
"107","board_6x4_5_3433_none","6","4","5","12","19","0","1705","3","24","1705","37","1771","95","95","10000","1.0000","0"
"108","board_7x5_6_3440_none","7","5","6","22","29","1","12243","3","35","12243","37","12320","145","174","8333","0.8333","0"
"109","board_15x18_68_3447_none","15","18","68","95","126","6","434695","3","270","434695","37","435007","7356","13736","5355","0.5355","1"
"110","board_19x14_40_3528_none","19","14","40","73","226","0","28392","3","266","28392","37","28700","9040","9040","10000","1.0000","0"
"111","board_18x5_23_3571_none","18","5","23","52","59","2","206401","3","90","206401","37","206533","1223","1541","7936","0.7936","1"
"112","board_16x4_12_3597_none","16","4","12","37","52","2","26992","3","64","26992","37","27098","520","624","8333","0.8333","0"
"113","board_14x5_10_3611_none","14","5","10","36","60","1","95363","3","70","95363","37","95475","540","600","9000","0.9000","0"
"114","board_11x8_13_3622_none","11","8","13","18","75","2","13747","3","88","13747","37","13877","825","975","8461","0.8461","0"
"115","board_5x19_24_3636_none","5","19","24","47","71","3","29143","3","95","29143","37","29280","1491","1704","8750","0.8750","0"
"116","board_4x16_9_3665_none","4","16","9","19","55","0","4542","3","64","4542","37","4648","495","495","10000","1.0000","0"
"117","board_7x6_11_3675_none","7","6","11","25","31","4","27373","3","42","27373","37","27457","217","341","6363","0.6363","0"
"118","board_14x6_12_3687_none","14","6","12","8","72","0","6141","3","84","6141","37","6267","864","864","10000","1.0000","0"
"119","board_19x18_81_3701_none","19","18","81","45","97","3","469800","3","342","469800","37","470184","7074","21141","3346","0.3346","1"
"120","board_19x19_55_3790_none","19","19","55","87","306","0","18603","3","361","18603","37","19006","16830","16830","10000","1.0000","0"
"121","board_19x19_49_3848_none","19","19","49","105","312","1","48601","3","361","48601","37","49004","14976","15288","9795","0.9795","0"
"122","board_14x6_21_3900_none","14","6","21","47","63","2","32734","3","84","32734","37","32860","1197","1323","9047","0.9047","0"
"123","board_9x4_5_3924_none","9","4","5","8","31","0","12205","3","36","12205","37","12283","155","155","10000","1.0000","0"
"124","board_5x10_12_3930_none","5","10","12","30","38","4","67791","3","50","67791","37","67883","304","456","6666","0.6666","0"
"125","board_4x18_14_3944_none","4","18","14","28","58","0","25858","3","72","25858","37","25972","812","812","10000","1.0000","0"
"126","board_4x19_12_3961_none","4","19","12","22","64","0","8032","3","76","8032","37","8150","768","768","10000","1.0000","0"
"127","board_11x8_22_3974_none","11","8","22","37","66","1","30885","3","88","30885","37","31015","1386","1452","9545","0.9545","0"
"128","board_16x4_8_3998_none","16","4","8","18","56","0","9476","3","64","9476","37","9582","448","448","10000","1.0000","0"
"129","board_17x4_10_4007_none","17","4","10","21","58","1","15343","3","68","15343","37","15453","522","580","9000","0.9000","0"
"130","board_19x14_67_4019_none","19","14","67","146","199","1","226872","3","266","226872","37","227180","13134","13333","9850","0.9850","0"
"131","board_19x18_58_4099_none","19","18","58","129","284","0","50119","3","342","50119","37","50503","16472","16472","10000","1.0000","0"
"132","board_14x16_53_4164_none","14","16","53","114","161","2","586230","3","224","586230","37","586496","8191","9063","9037","0.9037","1"
"133","board_12x14_46_4226_none","12","14","46","66","88","3","427766","3","168","427766","37","427976","3682","5612","6560","0.6560","1"
"134","board_10x10_24_4277_none","10","10","24","53","76","0","14738","3","100","14738","37","14880","1824","1824","10000","1.0000","0"
"135","board_7x5_5_4304_none","7","5","5","15","30","1","6460","3","35","6460","37","6537","120","150","8000","0.8000","0"
"136","board_4x6_6_4311_none","4","6","6","12","18","0","2910","3","24","2910","37","2976","108","108","10000","1.0000","0"
"137","board_6x18_15_4319_none","6","18","15","27","93","0","10987","3","108","10987","37","11137","1395","1395","10000","1.0000","0"
"138","board_14x14_51_4335_none","14","14","51","72","113","4","319416","3","196","319416","37","319654","5183","7395","7008","0.7008","1"
"139","board_19x4_11_4390_none","19","4","11","21","65","0","7042","3","76","7042","37","7160","715","715","10000","1.0000","0"
"140","board_19x5_23_4403_none","19","5","23","32","72","0","21471","3","95","21471","37","21608","1656","1656","10000","1.0000","0"
"141","board_19x8_39_4427_none","19","8","39","83","113","2","134567","3","152","134567","37","134761","4181","4407","9487","0.9487","0"
"142","board_14x19_38_4473_none","14","19","38","74","228","0","28873","3","266","28873","37","29181","8664","8664","10000","1.0000","0"
"143","board_10x19_46_4515_none","10","19","46","125","144","4","171468","3","190","171468","37","171700","6048","6624","9130","0.9130","0"
"144","board_9x18_41_4567_none","9","18","41","85","121","5","55002","3","162","55002","37","55206","4356","4961","8780","0.8780","0"
"145","board_6x12_15_4612_none","6","12","15","31","57","0","3627","3","72","3627","37","3741","855","855","10000","1.0000","0"
"146","board_4x8_5_4628_none","4","8","5","8","27","0","3976","3","32","3976","37","4050","135","135","10000","1.0000","0"
"147","board_4x4_3_4635_none","4","4","3","8","13","0","1483","3","16","1483","37","1541","39","39","10000","1.0000","0"
"148","board_8x12_16_4639_none","8","12","16","35","80","0","5287","3","96","5287","37","5425","1280","1280","10000","1.0000","0"
"149","board_15x19_69_4657_none","15","19","69","145","216","4","301901","3","285","301901","37","302228","14040","14904","9420","0.9420","0"
"150","board_17x18_78_4735_none","17","18","78","110","175","3","1251180","3","306","1251180","37","1251528","12966","17784","7290","0.7290","1"
"151","board_19x6_18_4835_none","19","6","18","43","96","0","10650","3","114","10650","37","10806","1728","1728","10000","1.0000","0"
"152","board_17x5_22_4855_none","17","5","22","50","63","4","244538","3","85","244538","37","244665","1134","1386","8181","0.8181","0"
"153","board_9x18_27_4886_none","9","18","27","41","135","1","24751","3","162","24751","37","24955","3510","3645","9629","0.9629","0"
"154","board_4x14_9_4915_none","4","14","9","15","47","0","14733","3","56","14733","37","14831","423","423","10000","1.0000","0"
"155","board_5x5_5_4925_none","5","5","5","12","20","1","5931","3","25","5931","37","5998","80","100","8000","0.8000","0"
"156","board_10x6_13_4933_none","10","6","13","40","47","2","76828","3","60","76828","37","76930","517","611","8461","0.8461","0"
"157","board_14x12_23_4949_none","14","12","23","41","145","0","11013","3","168","11013","37","11223","3335","3335","10000","1.0000","0"
"158","board_16x16_44_4975_none","16","16","44","106","212","2","34615","3","256","34615","37","34913","8904","9328","9545","0.9545","0"
"159","board_19x16_54_5024_none","19","16","54","107","250","2","98962","3","304","98962","37","99308","13000","13500","9629","0.9629","0"
"160","board_15x4_16_5084_none","15","4","16","35","44","5","47094","3","60","47094","37","47196","484","704","6875","0.6875","0"
"161","board_8x10_11_5105_none","8","10","11","25","69","0","5533","3","80","5533","37","5655","759","759","10000","1.0000","0"
